Report generated on: 11-25-2024 12:36:05
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-WORL-TBTUUSDPP.A","    World","9.976817714825058","9.52582315739567","9.467481202307441","9.317233214199083","9.29007033037435","9.192147763159879","9.075658813258539","9.020345759099436","7.903264823466149","7.6776841331265535","6.882757425631801","6.759317986636484","6.6286633985584","6.524994575861646","6.403548405773361","6.367538158973053","6.295156187436933","6.067440612713497","5.959580290740499","5.869161892149374","5.78796225040121","5.696571011518962","5.666302445415628","5.666341542938749","5.6736164725893286","5.591760355098442","5.481741460320904","5.353168281464445","5.2656562048176445","5.238908791572218","5.306823657615043","5.230050076923054","5.159221881453111","5.070982388978843","4.938338802636608","4.783111814006596","4.683533656719483","4.586282124834078","4.525499552005068","4.420504525699052","4.347687280897317","4.29009307281686","4.377207003659074"
"INTL.47-34-AFG-TBTUUSDPP.A","        Afghanistan","0","0","0","0","0","0","0","0","2.8367931943905518","2.995311208262231","3.060258858257296","1.4218933087199899","0.9189761797320741","1.2169997235529721","1.5109172222591627","0.8444502834679735","0.8856300425100179","0.8970596811999024","0.9187408771646111","0.9646482606008894","0.8777789528529752","0.6421767022981533","0.35501868024006467","0.3940110739477713","0.3633124434306261","0.44932588843545473","0.5401057964824041","0.5080514691847716","1.062780487075896","1.533989264721894","1.911075650526583","2.2742496122244695","1.9472740589624735","1.5048538905636248","1.2292370037521776","1.4657731420487743","1.2934225820561316","1.2544826252447867","1.4363498893691715","1.1598303381612403","1.0792072022825066","1.648049862734497","1.7860947108586451"
"INTL.47-34-ALB-TBTUUSDPP.A","        Albania","0","0","0","0","0","0","0","0","5761808868.202579","5375412119.116153","6.598013944539424","6.922182397863663","6.44673208536585","4.84962040367026","3.88337806070534","3.7691766780098868","3.2592000941783326","3.4985293786704976","3.696695770455945","2.5532180133494333","4.039493456916446","3.8207596130225165","4.123967059210165","4.002772968588343","4.083498275111922","3.819702013476239","3.44435640368235","3.1991733556599558","3.0353768412296573","2.763148711363044","2.465890436574798","2.59205410709183","2.400078199397956","2.7857553102300505","2.6729565103842896","2.4414301225975925","2.630687173574365","2.7734286828463928","2.549922740509539","2.229800696987095","2.177161338752181","2.168040614601588","2.0386576579230846"
"INTL.47-34-DZA-TBTUUSDPP.A","        Algeria","3.8177978771427576","3.1445302663240717","4.243396866982315","4.5353919407004435","4.528947340509177","4.037090399427737","4.108380667973795","4.41061383853572","4.757404196850195","4.412388099373331","4.538900529263874","5.104680183191521","4.823289314743608","4.526424287371025","4.709888230179632","4.743716741178431","4.467434462143173","4.210578384202892","4.159835483851754","4.015918915588244","4.013552320707635","3.8119531008322043","3.66881521371782","3.5475688383530493","3.2965480331973085","3.681362464251811","3.7399392301165775","3.626365985092078","3.879884062664042","3.9379726487801565","3.8149382450741416","4.058769092477269","4.283709735214669","4.057169458906325","4.399643399741321","4.360294147032619","4.1669692730820085","4.153569444821653","4.3649171125411375","4.502246427658841","4.48284717697677","4.600365784097424","4.414061263163541"
"INTL.47-34-ASM-TBTUUSDPP.A","        American Samoa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.500606245136204","15.118238349146127","15.561155488281251","16.82600666003975","17.352732862903224","16.5518375","15.32954920071048","12.694624631268436","14.942631076388889","8.55663570706834","7.652230684017143","7.672906675699661","7.660955107668976","7.440743376840024","7.569327959324208","8.186992697648302","7.749323276704838","0","0","0","0"
"INTL.47-34-AGO-TBTUUSDPP.A","        Angola","0","0","0","0","0","0","0","0","1.1257086056078192","1.0846294737584536","1.1919194809194817","1.2408068232174891","1.3258654942653998","1.703161228471714","1.6356722075456478","1.5335089556946402","1.290760083593162","1.370812704175617","1.1514678576439452","1.2856779902751243","1.4778088114506893","1.5356923861493192","1.4370420172352176","1.5512284975357429","1.5221922130953003","1.0839789277688907","1.2305427540105238","1.2702610977898439","1.3318328229933296","1.5269344919823251","1.5883961022660549","1.605610952596661","1.594224799369004","1.648041758819892","1.7358713984779925","1.8092769214811308","1.6644079066159148","1.5192992939829262","1.5482241663684393","1.7722908171533966","1.8428664115143942","1.7803310510632393","1.7787803488462464"
"INTL.47-34-ATA-TBTUUSDPP.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.47-34-ATG-TBTUUSDPP.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","6.363026170572167","6.029381185022953","6.06930462956937","5.919239545680733","5.867115606233521","5.557992179761295","5.577667145107204","6.217717538111795","5.848166704728519","5.698520743267847","5.441096960931259","5.246589426125983","5.403345450636933","5.581634534099474","5.813927041228925","5.769648164044008","5.683692141722003","5.34689994850577","4.885238591053464","4.684517117164096","4.7558981810798615","5.659946201993215","5.937411731857502","6.037818521974332","6.002498257545251","6.038992686491931","5.948838549225454","5.849070940575645","5.626555054560782","5.185532697358635","4.991879796933767","4.802853325136977","4.907388821799122","5.403930049773836","5.215243706837396"
"INTL.47-34-ARG-TBTUUSDPP.A","        Argentina","3.564044565916712","3.6617967426763145","3.936845398900378","3.834512459775132","4.003544389215731","4.137981101425867","4.166779429244401","4.068731118242188","4.213297525969764","4.5519239536429215","4.409230196448597","4.166783433601723","3.9051713195462985","4.087991443025424","3.755437282994391","3.996564060947472","4.02239024404884","3.811878087473091","3.932762615140438","3.983021630089651","4.286396450102431","4.3093989140057625","4.554126305317469","4.626101811401389","4.842960104572755","4.620349418865","4.473351641877012","4.300429644297157","4.326061148776252","4.4314894408466525","4.226885239634483","4.090802707929171","4.215701818522223","4.16136418548834","4.285231168941539","4.246070774867747","4.349368841199785","4.02505456486291","3.9897984469594996","4.137344375341897","3.975570909791534","4.104365143705518","3.9466496630109464"
